TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
DXCO3;7,51;2,87;18,30;0,93;0,33;30,15;12,23;4,15;6,21;11,23;5,00;0,75;0,76;3,42;-0,47;1,49;5,10;1,81;6,74;0,36;0,64;0,44;8,33;-4,84;28.699.527,70;8,05;0,41;-0,31;6.187.069.494,84
EALT3;15,54;2,97;5,14;1,35;0,59;28,54;15,70;12,30;4,03;5,13;1,25;0,42;0,63;16,53;-1,03;1,09;26,18;11,45;19,09;0,44;0,56;0,93;14,94;40,87;9.488,35;11,54;3,02;0,05;337.027.500,00
EALT4;14,50;3,48;4,83;1,26;0,55;28,54;15,70;12,30;3,78;5,13;1,25;0,42;0,59;15,51;-0,96;1,09;26,18;11,45;19,09;0,44;0,56;0,93;14,94;40,87;196.834,60;11,54;3,02;0,05;337.027.500,00
ECOR3;6,63;2,93;5,25;1,43;0,17;39,80;34,31;9,03;1,38;5,79;4,41;4,55;0,47;4,53;-0,21;1,23;27,17;3,17;11,11;0,12;0,87;0,35;22,79;18,62;23.336.192,35;4,65;1,26;0,09;4.616.695.905,12
ECPR3;90,25;;-9,87;1,21;0,62;;;;-17,12;-17,09;0,08;-0,01;;174,62;-0,62;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ECPR4;90,74;;-9,92;1,22;0,62;;;;-17,21;-17,09;0,08;-0,01;;175,57;-0,63;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
EEEL3;294,77;;5,05;1,15;0,37;59,95;53,80;29,35;2,75;5,29;2,53;1,06;1,48;2,65;-0,47;2,55;22,82;7,23;15,16;0,32;0,68;0,25;12,36;26,43;;255,90;58,39;-0,18;2.840.511.499,76
EEEL4;410,00;;7,02;1,60;0,51;59,95;53,80;29,35;3,83;5,29;2,53;1,06;2,06;3,69;-0,66;2,55;22,82;7,23;15,16;0,32;0,68;0,25;12,36;26,43;;255,90;58,39;-0,25;2.840.511.499,76
EGIE3;39,02;6,50;7,66;2,95;0,66;55,23;70,99;39,01;4,21;6,72;2,50;1,75;2,99;207,44;-0,78;1,02;38,51;8,62;17,59;0,22;0,76;0,22;4,09;12,43;46.403.290,90;13,23;5,10;0,33;31.927.252.466,20
EKTR3;38,92;28,59;7,52;3,66;0,64;27,63;22,44;10,92;3,66;7,03;3,05;3,05;0,82;46,55;-0,91;1,05;48,71;8,48;17,80;0,17;0,83;0,78;6,85;19,34;0,00;10,63;5,18;0,62;8.199.244.366,58
